"mes","dia","c_totales","c_diarios"
"2","29","1","0"
"3","1","5","4"
"3","2","7","2"
"3","3","7","0"
"3","4","10","3"
"3","5","13","3"
"3","6","14","1"
"3","7","14","0"
"3","8","15","1"
"3","9","15","0"
"3","10","17","2"
"3","11","17","0"
"3","12","19","2"
"3","13","20","1"
"3","14","28","8"
"3","15","37","9"
"3","16","58","21"
"3","17","111","53"
"3","18","168","57"
"3","19","260","92"
"3","20","426","166"
"3","21","532","106"
"3","22","789","257"
"3","23","981","192"
"3","24","1082","101"
"3","25","1211","129"
"3","26","1382","171"
"3","27","1627","245"
"3","28","1835","208"
"3","29","1924","89"
"3","30","1966","42"
"3","31","2302","336"
"4","1","2748","446"
"4","2","3163","415"
"4","3","3368","205"
"4","4","3465","97"
"4","5","3646","181"
"4","6","3747","101"
"4","7","3995","248"
"4","8","4450","455"
"4","9","4965","515"
"4","10","7161","2196"
"4","11","7257","96"
"4","12","7466","209"
"4","13","7529","63"
"4","14","7603","74"
"4","15","7858","255"
"4","16","8225","367"
"4","17","8450","225"
"4","18","9022","572"
"4","19","9468","446"
"4","20","10128","660"
"4","21","10398","270"
"4","22","10850","452"
"4","23","22160","11310"
"4","24","22719","559"
"4","27","23240","521"
"4","28","24258","1018"
"4","29","24675","417"
"4","30","24934","259"
"5","1","26336","1402"
"5","2","27464","1128"
"5","3","29538","2074"
"5","4","31881","2343"
"5","6","29420","-2461"
"5","7","30289","869"
"5","8","28818","-1471"
"5","9","29071","253"
"5","10","29559","488"
"5","11","29509","-50"
"5","12","30419","910"
"5","13","30486","67"
"5","14","30502","16"
"5","15","31467","965"
"5","16","32723","1256"
"5","17","33182","459"
"5","18","33582","400"
"5","19","34151","569"
"5","20","34854","703"
"5","21","35306","452"
"5","22","35828","522"
"5","23","36258","430"
"5","24","36756","498"
"5","25","37355","599"
"5","26","37656","301"
"5","27","38103","447"
"5","28","38471","368"
"5","29","38571","100"
"5","30","38843","272"
"5","31","39098","255"
"6","1","39994","896"
"6","2","40414","420"
"6","3","40966","552"
"6","4","41575","609"
"6","5","42106","531"
"6","6","42728","622"
"6","7","43120","392"
"6","8","43378","258"
"6","9","43917","539"
"6","10","44440","523"
"6","11","45082","642"
"6","12","45778","696"
"6","13","46356","578"
"6","14","46751","395"
"6","15","47322","571"
"6","16","47943","621"
"6","17","48490","547"
"6","18","49097","607"
"6","19","49731","634"
"6","20","50183","452"
"6","21","50640","457"
"6","22","50915","275"
"6","23","51643","728"
"6","24","52334","691"
"6","25","53156","822"
"6","26","53856","700"
"6","27","54574","718"
"6","28","55255","681"
"6","29","55665","410"
"6","30","56342","677"
"7","1","58257","1915"
"7","2","59486","1229"
"7","3","60657","1171"
"7","4","61535","878"
"7","5","61958","423"
"7","6","62380","422"
"7","7","63245","865"
"7","8","64221","976"
"7","9","65018","797"
"7","10","65801","783"
"7","11","67209","1408"
"7","12","67870","661"
"7","13","68459","589"
"7","14","69570","1111"
"7","15","70329","759"
"7","16","71365","1036"
"7","17","72444","1079"
"7","18","73382","938"
"7","19","74013","631"
"7","20","74620","607"
"7","21","76217","1597"
"7","22","77257","1040"
"7","23","78148","891"
"7","24","79049","901"
"7","25","80036","987"
"7","26","80694","658"
"7","27","81161","467"
"7","28","82279","1118"
"7","29","83193","914"
"7","30","84370","1177"
"7","31","85355","970"
"8","1","86232","877"
"8","2","86524","292"
"8","3","87041","517"
"8","4","87963","922"
"8","5","88866","903"
"8","6","90537","1671"
"8","7","91969","1432"
"8","8","93572","1603"
"8","9","94459","887"
"8","10","94701","242"
"8","11","95563","862"
"8","12","97110","1547"
"8","13","98343","1233"
"8","14","99409","1066"
"8","15","100688","1279"
"8","16","101542","854"
